"Name","ExternalId","Test Type","Date","Time","BW [KG]","Reps","Tags","Additional Load [kg]","Athlete Standing Weight [kg] ","Jump Height (Imp-Mom) in Inches [in] ","RSI-modified (Imp-Mom) [m/s] ","Contraction Time [ms] ","Peak Power / BM [W/kg] ","Eccentric Peak Velocity [m/s] ","Eccentric Mean Braking Force [N] ","Eccentric Braking RFD / BM [N/s/kg] ","Force at Zero Velocity [N] ","Countermovement Depth [cm] ","Concentric Mean Force / BM [N/kg] ","Eccentric Braking Impulse [N s] ","Concentric Impulse [N s] ","Concentric Impulse % (Asym) (%)","Eccentric Braking Impulse % (Asym) (%)","Landing Impulse % (Asym) (%)","Concentric Peak Velocity [m/s] ","Velocity at Peak Power [m/s] ","Force at Peak Power [N] "
"Brayden Loftin","","CMJ","01/23/2026","10:05 AM","104.55976716270085","2","","0","104.6","17.5","0.54","830","60.6","-1.46","1248","64","2774","-46.6","21.2","82.1","303","2.2 L","8.4 L","10.2 L","3.07","2.77","2248"
"Lucien Holland","","CMJ","01/23/2026","10:04 AM","100.29746631221883","3","","0","100.3","18","0.65","762","62.3","-1.38","1382","112","2819","-31.4","21.9","94.9","300.4","13.8 R","40 R","53.2 L","3.11","2.75","2296"
"JuJu Walls","","CMJ","01/23/2026","10:04 AM","84.48904823158168","2","","0","84.5","17.1","0.77","632","63.5","-1.42","1156","136","2522","-26.4","23.8","77.1","247.1","6.4 R","12.4 L","33.3 L","3.02","2.71","2002"
"Donavyn Pellot","","CMJ","01/23/2026","10:04 AM","102.64658531549463","2","","0","102.6","18.6","0.71","666","65.5","-1.46","1560","133","3055","-31","23.3","112.7","312.8","9 R","1.1 L","15.2 L","3.14","2.78","2422"
"AJ Fuimaono","","CMJ","01/23/2026","10:03 AM","146.6465143997931","2","","0","146.6","12.5","0.37","860","47.6","-1.54","2069","81","3496","-38.9","18.6","181","360.6","1.5 L","10.5 R","16.9 R","2.68","2.41","2865"
"Stevie Amar","","CMJ","01/23/2026","10:03 AM","108.62799702879812","1","","0","108.6","15.2","0.53","726","54.6","-1.64","1436","98","2930","-36.3","20.5","96.9","297.8","3.5 R","5.7 L","25.8 R","2.88","2.6","2286"
"Malaki Soliai","","CMJ","01/23/2026","10:03 AM","99.02309154924757","2","","0","99","17.6","0.62","770","66.4","-1.01","1177","79","2811","-26.8","24.6","61.2","291.6","4.3 R","8.3 R","36.7 L","3.07","2.66","2505"
"Dylan Sims","","CMJ","01/23/2026","10:02 AM","103.73320929490752","2","","0","103.7","20.2","0.66","798","62.7","-1.6","1365","86","2658","-38.4","21.3","101.4","329.2","7.1 L","5.8 R","33.7 R","3.28","2.96","2316"
"Aiden Gobaira","","CMJ","01/23/2026","10:02 AM","118.16406011443979","2","","0","118.2","19.4","0.64","774","59.1","-1.41","1420","85","3347","-35.6","21.2","83","365.6","8.9 R","6.2 R","15.3 R","3.21","2.93","2427"
"Gavin Blum","","CMJ","01/23/2026","10:02 AM","123.36289630632905","2","","0","123.4","17.4","0.57","836","60.9","-1.1","1459","58","2723","-33.1","21","82.8","359.9","16.8 R","32.7 R","32.4 R","3.05","2.75","2908"
"Jensen Somerville","","CMJ","01/23/2026","10:01 AM","146.51540802955307","2","","0","146.5","14.9","0.53","718","49.5","-1.54","2206","112","3827","-35.1","19.2","180.7","396.9","6.3 L","4.7 R","32.5 L","2.84","2.55","2829"
"Michael Price","","CMJ","01/23/2026","10:01 AM","133.91033481040043","1","","0","133.9","14.5","0.33","1104","57.4","-0.53","1366","18","2497","-28.2","19.5","31.3","359.4","3.5 R","2.2 R","19.4 R","2.87","2.51","3056"
"Cooper Javorsky","","CMJ","01/23/2026","10:00 AM","135.02741466191682","2","","0","135","12.8","0.41","824","48.2","-1.06","1522","51","2949","-31.1","18.7","70.8","340","6.4 L","11.2 L","21.1 L","2.67","2.38","2824"
"Ashton Sanders","","CMJ","01/23/2026","9:59 AM","132.09426879300165","2","","0","132.1","14.3","0.62","732","55.5","-1.56","1767","125","3637","-26.8","21.8","120.6","352.9","3.5 R","6.7 R","27.5 R","2.83","2.5","2966"
"Robert James","","CMJ","01/23/2026","9:59 AM","137.19561118639922","2","","0","137.2","12.3","0.39","840","49.2","-1.33","1683","65","3134","-38.5","19.2","111.5","340.9","2.5 L","11.9 L","16.4 L","2.64","2.34","2939"
"Mone Malafu","","CMJ","01/23/2026","9:59 AM","117.02780490569296","2","","0","117","16.1","0.57","748","56.6","-1.54","1471","77","2769","-36.1","20","97.1","328","7 L","15.9 L","29.3 R","2.95","2.64","2531"
"Sammy Omoshigo","","CMJ","01/23/2026","9:59 AM","106.10316897497108","2","","0","106.1","21.9","0.75","812","72.9","-1.64","1346","84","2819","-43.2","21.9","93.7","349.6","7.6 L","2 R","8.5 L","3.43","3.12","2519"
"Max Roy","","CMJ","01/23/2026","9:59 AM","145.56423438729107","2","","0","145.6","14.9","0.48","884","54.4","-1.11","1662","55","3319","-33.1","19.8","82.4","395","8.8 L","14.5 L","29.5 R","2.83","2.59","3090"
"Wyatt Mosier","","CMJ","01/23/2026","9:58 AM","103.97381878241207","2","","0","104","15.4","0.5","784","50.9","-1.7","1390","87","2687","-40.3","19.2","106.2","283.2","16 L","19.4 L","23.9 L","2.89","2.66","2119"
"Caleb Walker","","CMJ","01/23/2026","9:57 AM","144.93322930227382","2","","0","144.9","10.8","0.37","748","40.3","-1.44","1992","82","3241","-32.7","17.7","151.7","335.5","3.7 R","15.7 R","42.5 R","2.49","2.24","2653"
"KD Arnold","","CMJ","01/23/2026","9:57 AM","136.4612439400087","2","","0","136.5","15.2","0.54","732","55.1","-1.34","1718","77","3270","-33.8","20.7","114.2","375.2","8.2 R","7.1 L","43.5 R","2.89","2.55","2954"
"Jacob Reis","","CMJ","01/23/2026","9:57 AM","97.09001067026063","2","","0","97.1","16.9","0.59","734","53","-1.53","1260","97","2660","-34.8","20.4","84.9","281","10.4 R","5.6 R","16.5 L","3.02","2.73","1984"
"Julian Armella","","CMJ","01/23/2026","9:56 AM","150.876718086488","2","","0","150.9","13.3","0.45","778","48.2","-1.33","1983","92","4075","-35.1","19.7","131.3","389","17.4 L","15.2 R","20.2 R","2.73","2.48","3063"
"Peter Bario","","CMJ","01/23/2026","9:56 AM","100.81197484763007","2","","0","100.8","21.4","0.78","716","65.6","-1.7","1257","99","3029","-42.9","22.1","83.2","326.1","6.9 R","15.7 R","21.5 R","3.36","3.1","2205"
"Cole Cogshell","","CMJ","01/23/2026","9:56 AM","114.52196868793038","2","","0","114.5","17","0.61","724","64.9","-1.53","1358","75","2837","-37.7","20.9","80.2","332.2","7.9 R","16.4 L","36.1 R","3.05","2.74","2722"
"Nehemiah Johnson","","CMJ","01/23/2026","9:55 AM","155.1835573297162","2","","0","155.2","9.4","0.29","932","37.9","-1.34","1917","70","3631","-37.7","16.6","124.1","331.1","8.2 R","3.7 R","6.1 R","2.42","2.22","2674"
"JD Rayner","","CMJ","01/23/2026","9:55 AM","135.44105186121183","2","","0","135.4","15.3","0.33","1188","53.3","-0.57","1380","22","3020","-36","19.1","36.9","359.6","3.4 L","7.6 L","42.5 L","2.89","2.61","2647"
"Carter Sweazie","","CMJ","01/23/2026","9:54 AM","150.2622126542251","2","","0","150.3","16.4","0.53","906","56.7","-1.2","1779","64","3456","-33.8","20.8","100","427.7","2.8 L","32.5 R","20.2 R","2.96","2.64","3250"
"Derek Osman","","CMJ","01/23/2026","9:54 AM","140.64726963747137","2","","0","140.6","14.4","0.48","762","49.9","-1.63","1732","77","3535","-38.6","18.8","108.4","378.8","21.7 R","30.6 R","12.1 R","2.8","2.58","2725"
"Scott Taylor","","CMJ","01/23/2026","9:53 AM","109.08794969923643","3","","0","109.1","19.7","0.66","786","63.3","-1.76","1423","98","3326","-44.8","21.5","109","339.3","4.8 L","7.7 L","20.8 R","3.23","2.93","2361"
"Sam Yoon","","CMJ","01/23/2026","9:53 AM","143.21726850027838","1","","0","143.2","14.9","0.59","642","58.6","-1.35","1797","92","3480","-27","21.3","97.3","392.8","4.6 L","19.8 L","49.2 R","2.85","2.52","3328"
"Noah Fox-Flores","","CMJ","01/23/2026","9:53 AM","106.84942982217535","2","","0","106.8","18.1","0.69","672","62.5","-1.6","1428","98","2790","-35.4","21.4","99.6","316.1","3.8 L","11.2 R","18.2 L","3.12","2.79","2422"
"Darold DeNgohe","","CMJ","01/23/2026","9:52 AM","140.13626879963792","2","","0","140.1","10.9","0.27","1192","49.6","-0.71","1569","28","2089","-29.8","16.2","86.3","326.5","21.3 R","11.4 R","61.9 R","2.48","2.15","3289"
"Anthony Sacca","","CMJ","01/23/2026","9:52 AM","111.22854444790839","2","","0","111.2","17.5","0.6","792","62.9","-1.34","1336","66","2793","-37.2","21.5","82.6","323.4","7.8 R","6.2 R","44.4 L","3.04","2.67","2587"
"Tyson Ford","","CMJ","01/23/2026","9:52 AM","137.8448138534676","1","","0","137.8","15.2","0.5","768","55.8","-1.27","1683","63","3179","-35.1","20.1","106.3","379.2","1.5 R","7.4 R","56.2 R","2.93","2.61","2951"
"Eugene Brooks","","CMJ","01/23/2026","9:51 AM","157.4556794362412","2","","0","157.5","11.8","0.39","820","49","-0.9","1712","44","3192","-28.1","20","63.9","381.5","9 L","8.6 R","19.1 L","2.52","2.22","3460"
"Josh Phifer","","CMJ","01/23/2026","9:51 AM","116.38011823157912","2","","0","116.4","18.3","0.55","918","61.1","-1.64","1595","87","2931","-45.6","19.2","134.9","342.1","8.3 L","12.5 R","40.2 R","3.13","2.79","2544"
"Riley Robell","","CMJ","01/23/2026","9:50 AM","130.1701777532643","2","","0","130.2","14.6","0.57","662","51.1","-1.52","1822","126","3908","-32.8","21.1","127.5","350.5","19.2 L","7.9 R","45.6 L","2.85","2.52","2702"
"Madden Iamaleava","","CMJ","01/23/2026","8:42 AM","86.52166993700558","2","","0","86.5","15.4","0.52","774","60.1","-1.29","1089","91","2353","-35.2","22.9","66.7","240.1","1.6 L","8.2 R","16.8 R","2.88","2.54","2045"
"Wayne Knight","","CMJ","01/23/2026","8:41 AM","87.0647092853454","2","","0","87.1","20.7","0.84","624","71.9","-1.65","1380","153","2623","-32.6","25.1","102.4","280.6","4.4 R","2.7 L","19.4 R","3.29","2.87","2178"
"Colton Gumino","","CMJ","01/23/2026","8:40 AM","88.0488163607273","2","","0","88","16","0.56","724","56.2","-1.43","1173","100","2519","-35.4","22.4","80.6","249.9","4.7 R","21.2 L","19.2 R","2.93","2.63","1953"
"Salem Abdul-Wahab","","CMJ","01/23/2026","8:39 AM","116.99418943482931","2","","0","117","14.7","0.44","840","49.1","-1.72","1529","70","2634","-43.7","18","125.9","311","4.7 L","7.7 R","10.2 L","2.86","2.6","2299"
"Wayne Knight","","CMJ","01/23/2026","8:38 AM","79.21501823199604","2","","0","79.2","37.1","1.45","652","107.2","-1.63","1266","176","2880","-31.5","29.1","93.9","336.3","1.2 L","10.1 R","13.2 L","4.37","3.8","2275"
"Joshua Dixon","","CMJ","01/23/2026","8:37 AM","86.43831218308753","2","","0","86.4","19.6","0.68","768","65.5","-1.68","1167","92","2212","-39.4","21.7","88.8","269.8","1.5 L","12.6 R","17.2 R","3.21","2.87","1975"
"Dante Lovett","","CMJ","01/23/2026","8:36 AM","90.59486969884519","2","","0","90.6","19.2","0.68","722","63.6","-1.39","1127","93","2608","-32.6","23.3","65.3","276.7","4.7 R","9.1 L","4.9 L","3.18","2.79","2049"
"Kenneth Moore","","CMJ","01/23/2026","8:36 AM","70.67581033177682","2","","0","70.7","20.3","0.79","728","73.5","-1.22","905.5","111","2074","-29.4","25","55.5","224.2","6.8 L","4 L","14.8 L","3.26","2.86","1813"
"Nico Iamaleava","","CMJ","01/23/2026","8:35 AM","97.92327498141259","2","","0","97.9","18.9","0.65","736","63.1","-1.98","1270","88","2612","-46.2","21.1","98.8","292.6","8.5 R","19 R","31.4 L","3.22","2.92","2195"
"Major Pride","","CMJ","01/23/2026","8:35 AM","91.31629852229759","2","","0","91.3","18.8","0.74","664","67.3","-1.31","1200","110","2603","-29.2","23.9","72.2","280.7","1.7 L","24.5 R","14.6 L","3.15","2.76","2228"
"CJ Lavender","","CMJ","01/23/2026","8:35 AM","80.27954997613352","3","","0","80.3","19.1","0.56","1058","63.2","-0.8","918.9","59","2050","-38.9","20.9","47.7","247.7","7.1 R","5 R","26.5 R","3.19","2.86","1764"
"Major Pride","","CMJ","01/23/2026","8:34 AM","91.21612015215814","2","","0","91.2","19.3","0.73","704","67.8","-1.39","1257","108","2608","-31.1","23.6","85.2","283.7","3.4 L","16.5 R","38.5 R","3.21","2.84","2177"
"Semaj Morgan","","CMJ","01/23/2026","8:33 AM","82.27042448718566","2","","0","82.3","19","0.8","638","69.7","-1.36","1159","133","2436","-26.8","24.7","78.1","250.3","13.2 R","32.4 R","62.9 R","3.16","2.76","2062"
"Jackson Meehan","","CMJ","01/23/2026","8:33 AM","77.11458984800892","2","","0","77.1","25.4","0.88","734","75.9","-1.88","1115","134","2337","-39.9","23.3","85","270","6.7 R","18.2 R","19 L","3.63","3.24","1817"
"Landon Ellis","","CMJ","01/23/2026","8:33 AM","97.10652812891725","2","","0","97.1","18.2","0.61","758","63","-1.4","1245","80","2310","-35.1","21.6","85.6","290.2","14.3 R","5.7 R","64.5 R","3.1","2.74","2316"
"Mikey Matthews","","CMJ","01/23/2026","8:32 AM","80.82927033814282","1","","0","80.8","16.5","0.59","712","58.1","-1.72","1051","93","2160","-40.2","20.7","73.2","232","14.6 L","24.3 L","23.1 L","2.95","2.65","1774"
"Russell Weir","","CMJ","01/23/2026","8:32 AM","88.97222604247953","2","","0","89","26.5","0.95","742","72.5","-2.05","1250","139","2793","-43.6","22.9","100.5","308","6.1 R","11.2 R","37.8 L","3.74","3.42","1786"
"Giancarlo Cereghino","","CMJ","01/23/2026","8:32 AM","92.06039869221765","2","","0","92.1","16.5","0.55","774","63.8","-1.14","1082","60","2077","-30.6","21.9","58.3","264.5","8.2 L","2.2 R","28.6 L","2.96","2.6","2264"
"LaRue Zamorano","","CMJ","01/23/2026","8:31 AM","90.22360827484748","2","","0","90.2","18.7","0.61","786","60.6","-1.29","1139","86","2519","-36","21.3","75.4","274.4","8.7 R","28.6 R","48.9 L","3.14","2.82","1936"
"Aidan Mizell","","CMJ","01/23/2026","8:31 AM","77.90425863876033","2","","0","77.9","22.5","0.83","690","80.1","-1.81","1187","121","2358","-40.6","26.2","102.6","259.3","8.9 R","19.9 R","21.7 R","3.43","3","2132"
"Logan Hirou","","CMJ","01/23/2026","8:31 AM","86.55802202829159","2","","0","86.6","18","0.73","668","67","-1.47","1092","99","2341","-31.5","23.9","64.3","258.6","4.8 R","13.5 R","47.1 R","3.09","2.75","2179"
"Lennox Miller","","CMJ","01/23/2026","8:30 AM","99.54510933919654","2","","0","99.5","16.5","0.55","760","59.9","-1.31","1291","76","2298","-33.7","20.5","87.5","284.9","4.9 L","10 R","24.4 R","2.99","2.68","2363"
"Brian Rowe","","CMJ","01/23/2026","8:30 AM","73.80516132230537","2","","0","73.8","23.3","0.7","840","75.8","-1.41","925.3","82","2112","-42.7","23.4","64.5","249.6","15.1 L","33.8 L","54.5 R","3.5","3.1","1789"
"Mateen Bhaghani","","CMJ","01/23/2026","8:30 AM","81.136349318396","2","","0","81.1","17.1","0.59","734","55.7","-1.75","1172","117","2348","-38.9","20.4","90.8","236.4","10.2 R","7.7 R","34.3 L","3.04","2.77","1627"
"Zeke Johnson","","CMJ","01/23/2026","8:29 AM","90.69441342439781","2","","0","90.7","18.8","0.68","706","65.7","-1.78","1145","83","2316","-40.6","21.2","76.4","276.9","5.4 L","8.7 L","35.7 L","3.15","2.81","2151"
"Marcus Harris","","CMJ","01/23/2026","8:29 AM","87.1118552281013","2","","0","87.1","20","0.89","606","73.3","-1.46","1164","123","2648","-29.6","25.3","74.7","269.7","8.2 L","17.7 L","24.1 R","3.23","2.84","2211"
"Kenneth Moore","","CMJ","01/23/2026","8:29 AM","70.79057665722274","2","","0","70.8","20.5","0.74","724","74","-1.31","892.1","90","1977","-30.3","24.6","58.3","225.7","4.9 L","9.5 L","31.4 L","3.29","2.9","1805"
"Ta'Shawn James","","CMJ","01/23/2026","8:28 AM","99.94247494282523","3","","0","99.9","20.1","0.89","590","72","-1.58","1484","173","3341","-28.4","25.7","100.4","312.2","13.8 L","8.5 L","35.6 R","3.24","2.84","2548"
"Brett Barry","","CMJ","01/23/2026","8:28 AM","83.21002014057248","2","","0","83.2","21.4","0.83","658","72.8","-1.69","1277","143","2498","-32.5","24.3","92.2","268.7","5.4 L","26.9 L","18.4 L","3.36","2.98","2193"
"Major Pride","","CMJ","01/23/2026","8:28 AM","91.59299487843064","2","","0","91.6","18","0.75","636","70.9","-1.06","1224","144","2958","-23.4","26.3","65.8","272.6","4.7 L","15.8 R","19.7 R","3.1","2.65","2440"
"Scooter Jackson","","CMJ","01/23/2026","8:27 AM","84.89842360707381","2","","0","84.9","22.6","1.01","566","81.4","-1.65","1233","190","2894","-24.4","27.3","72","285.6","2.5 R","14.8 R","2.8 L","3.43","3","2474"
"Joshua Dixon","","CMJ","01/23/2026","8:27 AM","86.46259114053939","2","","0","86.5","18.9","0.66","740","64.3","-1.52","1219","101","2277","-34.3","22.1","94.7","264.6","4 R","20.2 R","42 R","3.16","2.84","2103"
"Ty Lee","","CMJ","01/23/2026","8:26 AM","91.8422054383045","2","","0","91.8","19.4","0.58","894","67.2","-1.43","1141","59","2101","-43.7","19.8","87.3","281.3","16.4 R","22.3 R","57.2 L","3.25","2.88","2122"
"Troy Leigber","","CMJ","01/23/2026","8:26 AM","94.68911122380977","2","","0","94.7","20.8","0.85","1014","72.8","-1.71","1547","157","2802","-30.9","24.9","115.2","304.3","7.7 L","19.2 L","57 L","3.3","2.91","2429"
"Jhase McMillan","","CMJ","01/23/2026","8:25 AM","74.26865818146963","2","","0","74.3","23.1","0.89","670","80.8","-1.95","1144","176","2692","-37.4","27","85.8","249.1","6.3 R","10.8 L","37.4 L","3.49","3.03","2029"
"Karson Cox","","CMJ","01/23/2026","8:25 AM","98.4315144907381","2","","0","98.4","18.3","0.74","628","68.1","-1.52","1385","150","3225","-30","24.8","89.2","292","7.4 R","26.4 R","16.4 R","3.12","2.68","2456"
"Dylan Lee","","CMJ","01/23/2026","8:25 AM","96.68484152635229","2","","0","96.7","22.6","0.99","668","80.3","-1.36","1379","135","2922","-26.6","26.1","92.7","316.2","6.3 R","9.2 R","26.8 R","3.44","2.96","2565"
"Brian Rowe","","CMJ","01/23/2026","8:24 AM","73.53855072691569","2","","0","73.5","23.5","0.73","840","74","-1.32","905.6","84","2142","-41","22.8","59","252","10.6 L","20.1 L","48.6 L","3.52","3.21","1757"
"Jace Brown","","CMJ","01/23/2026","8:24 AM","92.72170637162775","2","","0","92.7","21.6","0.74","790","76.1","-1.58","1118","64","2038","-37.9","21.1","72.8","302.5","3.4 R","5 R","37.1 L","3.38","3.01","2333"
"Shane Rosenthal","","CMJ","01/23/2026","8:24 AM","87.14098997704355","2","","0","87.1","18.8","0.74","650","68.2","-1.65","1338","145","2581","-31","23.4","98.2","267.3","19.9 L","20.9 L","60.7 L","3.19","2.84","2093"
"Ty Diffenbach","","CMJ","01/23/2026","8:23 AM","106.12562791695626","2","","0","106.1","19.3","0.63","816","62.7","-1.59","1364","69","2397","-39.9","20.4","106.4","324.5","10.1 R","20.8 R","28.2 L","3.18","2.92","2270"
"Chase Coleman","","CMJ","01/23/2026","8:23 AM","73.38048619191353","2","","0","73.4","21.9","0.79","770","73.2","-1.42","849.2","76","1988","-34.9","24","45.5","241.7","10.2 R","14.4 R","9.5 R","3.38","3.02","1822"
"Jaivian Thomas","","CMJ","01/23/2026","8:23 AM","87.18124828111432","2","","0","87.2","20.1","0.71","756","68.3","-1.44","1030","77","2306","-34.7","22.8","57.5","274.9","11.1 R","10.4 R","48.7 L","3.25","2.88","2065"
"Kuron Jabari","","CMJ","01/23/2026","8:22 AM","92.4886190288065","2","","0","92.5","19","0.63","804","63.6","-1.13","1096","67","2182","-35.9","21.1","65.4","282.2","10.6 L","22.3 L","53.7 R","3.17","2.81","2096"
"Cole Martin","","CMJ","01/23/2026","8:21 AM","84.8429008984785","2","","0","84.8","20.8","1.04","550","75.4","-1.41","1122","182","3152","-23.7","28.6","57.8","274.5","12.6 R","24.4 R","8.2 R","3.28","2.77","2305"
"Halakilangi Muagututi'a","","CMJ","01/23/2026","8:21 AM","108.25538334932489","2","","0","108.3","22.8","0.78","744","73.3","-1.77","1589","110","3025","-42.2","22.2","129.2","363.1","4.9 L","7.7 R","24.6 R","3.45","3.12","2534"
"Osiris Gilbert","","CMJ","01/23/2026","8:21 AM","78.62896975314142","2","","0","78.6","21.5","0.83","696","76.4","-1.2","979.7","71","1780","-29.1","24.4","65.4","253","12.4 R","13 R","14 L","3.35","2.88","2055"
"Robert Stafford","","CMJ","01/23/2026","8:20 AM","86.08707659861736","2","","0","86.1","19.1","0.76","676","68.5","-1.41","1062","109","2497","-31.8","23.6","62","264.5","4.6 L","17.8 L","17.2 R","3.19","2.81","2167"
"Leland Smith","","CMJ","01/23/2026","8:20 AM","96.76629690308476","2","","0","96.8","18.7","0.77","626","67.9","-1.33","1673","171","2824","-27.3","23.9","122.2","293.6","27.2 R","30.2 R","50.6 L","3.15","2.62","4111"
"Chase Barry","","CMJ","01/23/2026","8:19 AM","76.3742594528798","2","","0","76.4","53.8","1.9","718","126.3","-1.66","1053","122","2292","-34.6","25.6","73.4","376.2","8.1 L","14.1 R","30.2 R","5.3","4.78","2055"
"Dante Lovett","","CMJ","01/23/2026","8:18 AM","90.91386473001069","2","","0","90.9","19.5","0.72","690","65.9","-1.28","1123","86","2567","-32.4","23.3","70.4","279.4","0.6 R","13.3 R","18.4 R","3.21","2.79","2120"
"Scooter Jackson","","CMJ","01/23/2026","8:17 AM","84.91838636515944","2","","0","84.9","22.2","1.15","638","84.1","-1.48","1288","165","2671","-21.9","27.2","81.1","281.4","6 R","19.6 R","44.7 L","3.41","2.93","2424"
"DJ Barksdale","","CMJ","01/23/2026","8:17 AM","79.62715021554821","2","","0","79.6","18.3","0.61","810","63.5","-1.45","1044","92","2118","-37","22","72.9","238.3","9.7 R","15.5 R","18.3 L","3.13","2.77","1825"
